K,ELE
9000,110.52
9100,110.2971975
9200,110.03
9300,108.701128
9400,107.53
9500,103.254535
9600,102.25
9700,104.78352
9800,105.64
9900,105.626015
10000,105.98
10100,107.4670375
10200,107.7
10300,105.0955575
10400,103.16
10500,104.671188
10600,105.47
10700,106.58033
10800,107.01
10900,107.16
11000,106.8753433
11100,105.4434217
11200,104.06
11300,101.6952325
11400,102.54
11500,102.7969533
11600,103.18
11700,104.1213925
11800,105.42
11900,105.76312
12000,104.86
12100,102.1509525
12200,101.19
12300,100.9325
12400,101.03
12500,101.40921
12600,101.74
12700,101.9494775
12800,102.56
12900,103.2549467
13000,103.8563
13100,103.50671
13200,102.9028875
13300,102.20372
13400,102.4931
13500,103.98342
13600,107.28858
13700,109.2589625
13800,114.68241
13900,120.06429
14000,120.9223625
14100,124.95847
14200,126.650065
14300,127.4646975
14400,128.6873633
14500,128.721264
14600,128.3746725
14700,126.15341
14800,121.119398
14900,120.15963
15000,128.962795
15100,130.04333
15200,128.314478
15300,128.89924
15400,127.7127667
15500,124.935662
15600,112.7314
15700,107.38392
15800,107.28858
15900,107.4580733
16000,107.8907125
16100,108.4962325
16200,112.9373025
16300,111.22935
16400,111.9285125
16500,113.13617
16600,114.0114625
16700,114.7275725
16800,113.2896425
16900,110.78442
17000,111.00688
17100,112.150975
17200,116.473105
17300,121.915275
17400,122.1124167
17500,119.118594
17600,116.79091
17700,118.1574675
17800,122.54316
17900,128.5573725
18000,127.1513125
18100,126.261465
18200,124.8949075
18300,125.1809325
18400,133.0942475
18500,135.504045
18600,135.22353
18700,134.36546
18800,131.91837
18900,133.60273
